M_eV,omega_s,delta_phi_rad
0.01,54242018138380.35,3.5702744905068626
0.01,55508680300598.1,3.6536477085593155
0.01,56804921617284.29,3.738967861926381
0.01,58131432822247.13,3.8262804155332173
0.01,59488920779343.305,3.9156318960040633
0.01,60878108859147.555,4.007069916455074
0.01,62299737324418.34,4.100643201866137
0.01,63754563724564.93,4.196401615045164
0.01,65243363299326.35,4.294396183198724
0.01,66766929391875.7,4.394679125123063
0.01,68326073871574.055,4.497303879030272
0.01,69921627566593.75,4.602325131024066
0.01,71554440706645.75,4.709798844240632
0.01,73225383376045.27,4.819782288669948
0.01,74935345977357.4,4.9323340716734965
0.01,76685239705870.25,5.047514169214644
0.01,78475997035146.23,5.165383957818221
0.01,80308572213915.2,5.286006247276609
0.01,82183941774568.06,5.40944531411941
0.01,84103105053526.05,5.535766935864766
0.01,86067084723761.58,5.66503842607052
0.01,88076927339754.52,5.7973286702038935
0.01,90133703895174.2,5.932708162348776
0.01,92238510393584.58,6.07124904277023
0.01,94392468432476.83,6.2130251363562055
0.01,96596725800938.42,6.358111991956839
0.01,98852457091282.8,6.5065869226426525
0.01,101160864324958.08,6.658529046902606
0.01,103523177593073.78,6.814019330804332
0.01,105940655711885.0,6.973140631138899
0.01,108414586893583.72,7.135977739573083
0.01,110946289432752.4,7.302617427832575
0.01,113537112408852.0,7.473148493940575
0.01,116188436405110.14,7.647661809535874
0.01,118901674244198.98,7.826250368296055
0.01,121678271741092.3,8.009009335491433
0.01,124519708473503.19,8.196036098696204
0.01,127427498570313.2,8.38743031968378
0.01,130403191518412.89,8.583293987534002
0.01,133448372988383.56,8.783731472980504
0.01,136564665679460.69,8.988849584027209
0.01,139753730184229.25,9.198757622863614
0.01,143017265873508.78,9.413567444108981
0.01,146357011801907.97,9.633393514417024
0.01,149774747634520.0,9.858352973472106
0.01,153272294595261.2,10.088565696410017
0.01,156851516437355.1,10.324154357696402
0.01,160514320436476.47,10.565244496496684
0.01,164262658407093.34,10.811964583572916
0.01,168098527742536.53,11.064446089742392
0.01,172023972479359.9,11.322823555935123
0.01,176041084386555.25,11.587234664887257
0.01,180152004080202.38,11.857820314508679
0.01,184358922164148.6,12.134724692963903
0.01,188664080397325.44,12.418095355506251
0.01,193069772888324.56,12.708083303106267
0.01,197578347317869.53,13.004843062916276
0.01,202192206189835.56,13.308532770613995
0.01,206913808111479.03,13.61931425466877
0.01,211745669103571.2,13.937353122576146
0.01,216690363941118.1,14.262818849105654
0.01,221750527525392.94,14.595884866609621
0.01,226928856288008.56,14.936728657440899
0.01,232228109627772.94,15.285531848528416
0.01,237651111381107.75,15.642480308161879
0.01,243200751326794.97,16.007764245036
0.01,248879986725866.72,16.381578309607878
0.01,254691843897454.0,16.764121697821253
0.01,260639419831434.72,17.155598257252933
0.01,266725883838740.25,17.55621659573793
0.01,272954479240200.2,17.966190192531258
0.01,279328525094824.75,18.385737512065536
