M_eV,dt_s,visibility
0.01,3.60073348498562e-13,0.004209223152554921
0.01,3.727593720314938e-13,0.0034713496982101623
0.01,3.858923467029899e-13,0.002843451045163023
0.01,3.9948801939541784e-13,0.0023128114020005055
0.01,4.135626917817697e-13,0.00186755843061972
0.01,4.2813323987193956e-13,0.0014967054584802695
0.01,4.432171342476086e-13,0.0011901765225704821
0.01,4.58832461010084e-13,0.000938814901711017
0.01,4.749979434661422e-13,0.0007343761947553692
0.01,4.917329645779005e-13,0.0005695073541027336
0.01,5.090575902036687e-13,0.0004377133737993461
0.01,5.269925931575656e-13,0.0003333135494060245
0.01,5.455594781168514e-13,0.00025138936633705826
0.01,5.647805074067546e-13,0.00018772613204526292
0.01,5.846787276937577e-13,0.00013875044679355567
0.01,6.052779976193355e-13,0.00010146551329467284
0.01,6.266030164072656e-13,7.338612620887974e-05
0.01,6.486793534788508e-13,5.24749702457212e-05
0.01,6.715334791115135e-13,3.70816043650382e-05
0.01,6.951927961775591e-13,2.5885234376034836e-05
0.01,7.196856730011528e-13,1.7842092273251695e-05
0.01,7.450414773728917e-13,1.213796226004086e-05
0.01,7.712906117627992e-13,8.146133227091934e-06
0.01,7.984645497739078e-13,5.3908257279109415e-06
0.01,8.265958738801796e-13,3.5159456423592816e-06
0.01,8.557183144940019e-13,2.2588611250826988e-06
0.01,8.858667904100832e-13,1.4287854942040726e-06
0.01,9.17077450674293e-13,8.892751173192944e-07
0.01,9.49387717927582e-13,5.4431454267061e-07
0.01,9.82836333277001e-13,3.2745588980644415e-07
0.01,1.0174634027476084e-12,1.9349962291887276e-07
0.01,1.053310445370938e-12,1.1224265768256694e-07
0.01,1.0904204429677527e-12,6.387084520168834e-08
0.01,1.1288378916846882e-12,3.563040006719562e-08
0.01,1.1686088553466497e-12,1.9471890314911443e-08
0.01,1.2097810206889038e-12,1.0417182409332766e-08
0.01,1.2524037545350691e-12,5.451568016878979e-09
0.01,1.296528162989669e-12,2.788588356959565e-09
0.01,1.342207152716012e-12,1.393125077873426e-09
0.01,1.3894954943731361e-12,6.791679041758312e-10
0.01,1.438449888287666e-12,3.228281723215207e-10
0.01,1.4891290324394055e-12,1.4948087637386594e-10
0.01,1.5415936928422733e-12,6.736259949144577e-11
0.01,1.595906776404731e-12,2.951589588104769e-11
0.01,1.6521334063573684e-12,1.2562247368808176e-11
0.01,1.7103410003378378e-12,5.188097439909004e-12
0.01,1.7705993512268944e-12,2.0769106772410975e-12
0.01,1.8329807108324375e-12,8.050441552732763e-13
0.01,1.8975598765218505e-12,3.018007057133319e-13
0.01,1.9644142809066263e-12,1.0929708021263852e-13
0.01,2.03362408468667e-12,3.81905331521416e-14
0.01,2.1052722727657024e-12,1.28592071319305e-14
0.01,2.1794447537529877e-12,4.166938960738744e-15
0.01,2.256230462970635e-12,1.2977103199541673e-15
0.01,2.335721469090121e-12,3.878721279440947e-16
0.01,2.418013084525718e-12,1.1110169937203505e-16
0.01,2.50320397971732e-12,3.045251097849417e-17
0.01,2.5913963014396625e-12,7.97483706343084e-18
0.01,2.6826957952797276e-12,1.992136592706004e-18
0.01,2.777211932429355e-12,4.739065268981065e-19
0.01,2.875058040944877e-12,1.0717532295308248e-19
0.01,2.976351441631313e-12,2.3001245398106236e-20
0.01,3.0812135887140083e-12,4.6758543574930745e-21
0.01,3.1897702154663248e-12,8.986572298509809e-22
0.01,3.3021514849681755e-12,1.6296405209906688e-22
0.01,3.418492146175927e-12,2.7826918475797063e-23
0.01,3.5389316954909847e-12,4.4647131825984494e-24
0.01,3.6636145440207235e-12,6.716210874140514e-25
0.01,3.792690190732238e-12,9.450852477611192e-26
0.01,3.9263134017068395e-12,1.2411160304619117e-26
0.01,4.0646443957096275e-12,1.5173696312152727e-27
0.01,4.207849036297398e-12,1.722715688834672e-28
0.01,4.356099030694617e-12,1.8115324074020654e-29
0.01,4.509572135676135e-12,1.7596084075607484e-30
0.01,4.6684523707037945e-12,1.5743786547338547e-31
0.01,4.832930238571752e-12,1.293804466463434e-32
0.01,5.003202953825999e-12,9.736282070154386e-34
0.01,5.179474679231202e-12,6.68860596190641e-35
0.01,5.361956770568806e-12,4.18120531110148e-36
0.01,5.550868030059811e-12,2.3705390554875084e-37
0.01,5.746434968715973e-12,1.214724902918872e-38
0.01,5.948892077934331e-12,5.60591821209809e-40
0.01,6.1584821106602544e-12,2.3214101280056853e-41
0.01,6.375456372456493e-12,8.592808829244245e-43
0.01,6.600075022827101e-12,2.8319137690974905e-44
0.01,6.8326073871574055e-12,8.275790085080474e-46
0.01,7.073332279644439e-12,2.1354225813716133e-47
0.01,7.322538337604526e-12,4.843938969642011e-49
0.01,7.580524367559246e-12,9.615733267028879e-51
0.01,7.847599703514622e-12,1.6626240231429169e-52
0.01,8.124084577862974e-12,2.4918429631140532e-54
0.01,8.410310505352605e-12,3.220882609884945e-56
0.01,8.706620680585117e-12,3.5718425140340854e-58
0.01,9.01337038951742e-12,3.3800932044061647e-60
0.01,9.330927435461683e-12,2.7142960622768153e-62
0.01,9.659672580093842e-12,1.838931799417999e-64
0.01,1e-11,1.0448479140116392e-66
0.01,1.0352317759307378e-11,4.947970964131814e-69
0.01,1.0717048298967094e-11,1.9404412784878583e-71
0.01,1.109462894327524e-11,6.260192092987367e-74
0.01,1.1485512424239345e-11,1.6500664676547375e-76
0.01,1.1890167424419899e-11,3.528169407810322e-79
0.01,1.2309079138896017e-11,6.074776024686258e-82
0.01,1.2742749857031321e-11,8.358528100349817e-85
0.01,1.3191699564735743e-11,9.118368166813421e-88
0.01,1.3656466567946068e-11,7.82240732440874e-91
0.01,1.4137608138073614e-11,5.232663251829391e-94
0.01,1.46357011801908e-11,2.7055634871906363e-97
0.01,1.5151342924760515e-11,1.0715308310583011e-100
0.01,1.568515164373551e-11,3.2202100143511884e-104
0.01,1.6237767391887175e-11,7.272323030942633e-108
0.01,1.680985277425365e-11,1.2217986386661453e-111
0.01,1.740209374062485e-11,1.511254685310622e-115
0.01,1.8015200408020238e-11,1.361450364485207e-119
0.01,1.8649907912142944e-11,8.833678692462875e-124
0.01,1.9306977288832457e-11,4.080709057832783e-128
